character,description,runtime,imdb_score,imdb_votes,title,tmdb_score,animation,comedy,crime,documentation,drama,family,fantasy,history,horror,music,reality,romance,scifi,sport,thriller,war,western,AU,BR,CA,CAUS,CL,CN,CO,DE,DK,EG,ES,FR,GB,GBUS,HK,ID,IL,IN,IT,JP,KR,MX,MY,NG,NL,Other_countries,PH,PL,SE,TH,TR,TW,US,USGB,XX,ZA,Shah_Rukh_Khan,Boman_Irani,Kareena_Kapoor_Khan,Aamir_Khan,Yuki_Kaji,Priyanka_Chopra_Jonas,Junichi_Suwabe,Nawazuddin_Siddiqui,Kenjiro_Tsuda,Rani_Mukerji,Amitabh_Bachchan,Grey_DeLisle,Anupam_Kher,Maaya_Sakamoto,Naseeruddin_Shah,Fred_Tatasciore,Takahiro_Sakurai,Kari_Wahlgren,John_Abraham,Akshay_Kumar,Donald_Trump,Brijendra_Kala,Murali_Sharma,Om_Puri,Takehito_Koyasu,Tiffany_Haddish,John_Paul_Tremblay,Terry_Jones,Fred_Armisen,Robb_Wells,Tabu,Rajkummar_Rao,Mike_Smith,Mamoru_Miyano,Paresh_Rawal,Ajay_Devgn,Kevin_Michael_Richardson,Ranbir_Kapoor,Kappei_Yamaguchi,Nassar,Pankaj_Tripathi,John_Cleese,Mariya_Ise,Ron_Funches,Anil_Kapoor,Chris_Parnell,Hiroaki_Hirata,Johnny_Lever,Rishi_Kapoor,Adam_Sandler,Kim_Mi-kyeong,Tara_Strong,Ken_Jeong,Koichi_Yamadera,Daisuke_Ono,Sharat_Saxena,Abhishek_Bachchan,Yoshimasa_Hosoya,Carlos_Alazraqui,Saori_Hayami,Michael_Palin,Hochu_Otsuka,Eric_Idle,Jackie_Sandler,Konkona_Sen_Sharma,Kajol,Irrfan_Khan,Natsuki_Hanae,Michelle_Buteau,Eric_Bauza,Jane_Fonda,Deepika_Padukone,Akio_Otsuka,Aditi_Rao_Hydari,Kana_Hanazawa,Ikue_Otani,Dee_Bradley_Baker,Kensho_Ono,Kazuhiko_Inoue,Patrick_Roach,Jared_Sandler,Jun_Fukuyama,Joross_Gamboa,Kevin_Hart,Terry_Gilliam,Keegan-Michael_Key,Vir_Das,Kathryn_Bernardo,Jason_Schwartzman,Shahid_Kapoor,Vijay_Raaz,Sonam_Kapoor,Adil_Hussain,Nobunaga_Shimazaki,Manisha_Koirala,Ashleigh_Ball,Aoi_Yuki,Koji_Yusa,Tomokazu_Sugita,Graham_Chapman,Other_actors
"Raúl, Rocío, Paula, Pablo, Antonio, Traductora, Alberto, Lozano, Neiborgh","A Christmas tale, a romantic comedy and the story of a man in his 30s who learns reluctantly to get carried away by the Christmas spirit.",102.0,5.7,1502.0,1000 Miles from Christmas,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Captain Mitch Nelson, Chief Warrant Officer Hal Spencer, Sgt First Class Sam Diller, General Dostum, Sgt First Class Ben Milo, Sean Coffers, Vern Michaels, Fred Falls, Scott Black, Charles Jones, Commander Khaled, Sgt First Class Pat Essex, Sergeant First Class Bill Bennett, Jean Nelson, Captain, Brian, Colonel Mulholland, Colonel Max Bowers, Teacher, Maddy Nelson, 555 Soldier, Lisa Diller, Josh, Marcha Spencer, Taliban Fighter, Northern Alliance Soldier / Dostum Flank, SF Civilian, Northern Alliance Soldier, Commander Ahmed Lal, Villiage Elder, Lt Henriques, Habib, Afghan Man, Al Qaeda Fighter, Jackson, Special Forces First Sargent, Desk Sargent, Newmark, Dostums bodyguard, Taliban Fighter, Afghany Mother, Taliban / New Alliance, SF Soldier, Najeeb, Captain Nosorog, Taliban Soldier, Special Forces Captain, Afghani Girl, Village Elder (uncredited), Taliban Soldier, Soldier, Chinook Pilot, Special Forces Captain (uncredited), Self (archive footage), Crying Afghan Girl #1",A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,131.0,6.5,79980.0,12 Strong,6.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Nasr, Umniah, Nabil, Emad, Amjad, Mohammed, Samar, Samih, Samar","During a bloody night, a young man and his lover are struggling, not to get to the hospital, but to escape and survive.",95.0,6.0,5563.0,122,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Clay Jensen, Ani Achola, Tony Padilla, Jessica Davis, Justin Foley, Bryce Walker, Alex Standall, Zach Dempsey, Tyler Down, Montgomery de la Cruz, Lainie Jensen, Bill Standall, Charlie St. George, Diego Torres, Winston Williams, Robert Ellman","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",58.0,7.5,286015.0,13 Reasons Why,7.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Self, Self, Self, Self, Self","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why.""",42.0,6.2,328.0,13 Reasons Why: Beyond the Reasons,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self, self","In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.",104.0,6.2,869.0,137 Shots,6.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Self, Self, Self, Self, Self - U.S. Senator (D) New Jersey, Self, Self, Self, Self, Self, Self, Self, Self, Self, Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self (archive footage), Self - 106th Mayor of New York City (D), Self  (archive footage)",An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,100.0,8.2,35302.0,13th,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Himself, Himself, Himself, Herself, Himself (archive footage)","In 2019, Nepalese mountain climber Nirmal “Nims” Purja set out to do the unthinkable by climbing the world’s fourteen highest summits in less than seven months. (The previous record was eight years). He called the effort “Project Possible 14/7” and saw it as a way to inspire others to strive for greater heights in any pursuit. The film follows his team as they seek to defy naysayers and push the limits of human endurance.",101.0,7.7,24213.0,14 Peaks: Nothing Is Impossible,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Elisa Girotto, Anna, Alessio, Carla, Nonno, Nonna, Walter, Vittoria, Dottore, Infermiera","Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year.",110.0,6.9,3791.0,18 Presents,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wilfred James, Arlette James, Henry James, Shannon Cotterie, Harlan Cotterie, Sallie, Sheriff Jones, Andrew Lester, Lars, Mr. Stoppenhauser, Female Teller, Counterman, Farmer, Funeral Operator, Pawn Shop Clerk, Reverend Thursby, Unarmed Guard, Good Samaritan, Train Employee, Victoria, Hotel Maid, Concierge","A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",101.0,6.2,62508.0,1922,5.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
